topic,keyword_phrase,search_volume,platform,relevance_score
prosperity,prosperity consciousness,110,youtube,5
prosperity,prosperity consciousness,110,google,5
prosperity,prosperity consciousness,110,youtube,5
happiness,happiness in philosophy,320,youtube,4
happiness,happiness in philosophy,320,google,4
prosperity,prosperity without growth tim jackson,140,google,4
prosperity,prosperity without growth,140,google,4
prosperity,prosperity without growth,140,youtube,4
prosperity,prosperity without growth,140,youtube,4
prosperity,prosperity without growth book,140,google,4
prosperity,prosperity without growth,140,youtube,4
prosperity,prosperity without growth book,140,google,4
prosperity,prosperity without growth,140,google,4
prosperity,tim jackson prosperity without growth,140,youtube,4
prosperity,prosperity without growth book,140,youtube,4
prosperity,prosperity without growth,140,google,4
entrepreneurship,growth of entrepreneurship,110,google,4
happiness,happiness philosophy,110,youtube,4
entrepreneurship,entrepreneurship growth,110,youtube,4
entrepreneurship,growth of entrepreneurship,110,youtube,4
